Day,Predicted_Rate,Actual_Rate,Floating_PnL,Position_Status,Cumulative_Return
1,142.00769252164756,142.00769252164756,0.0,0.0,0.0
2,141.59346495833626,141.59346495833626,0.0,0.0,0.0
3,140.74148771719723,140.74148771719723,0.0,0.0,0.0
4,143.34841159073622,143.34841159073622,0.0,0.0,0.0
5,143.32906353346556,143.32906353346556,0.0,0.0,0.0
6,141.81305636410195,141.81305636410195,0.0,0.0,0.0
7,142.9795324439229,142.9795324439229,0.0,0.0,0.0
8,141.233975901323,141.233975901323,0.0,0.0,0.0
9,141.52896226075865,141.52896226075865,0.0,0.0,0.0
10,138.75546147069747,138.75546147069747,0.0,0.0,0.0
11,136.91253078935904,136.91253078935904,0.0,0.0,0.0
12,137.18205848953068,137.18205848953068,0.0,0.0,0.0
13,138.1951021452256,138.1951021452256,0.0,0.0,0.0
14,138.4319247164606,138.4319247164606,0.0,0.0,0.0
15,138.27183057324905,138.27183057324905,0.0,0.0,0.0
16,137.85548898143404,137.85548898143404,0.0,0.0,0.0
17,135.81726526191497,135.81726526191497,0.0,0.0,0.0
18,134.839592543927,134.839592543927,0.0,0.0,0.0
19,134.21846910206548,134.21846910206548,0.0,0.0,0.0
20,135.6373223706342,135.6373223706342,0.0,0.0,0.0
21,136.10339701778062,136.10339701778062,0.0,0.0,0.0
22,133.70383947554438,133.70383947554438,0.0,0.0,0.0
23,134.13715218574998,134.13715218574998,0.0,0.0,0.0
24,133.6206137812276,133.6206137812276,0.0,0.0,0.0
25,132.7161064495986,132.7161064495986,0.0,0.0,0.0
26,133.5278994042236,133.5278994042236,0.0,0.0,0.0
27,134.90457140948,134.90457140948,0.0,0.0,0.0
28,136.16091086279542,136.16091086279542,0.0,0.0,0.0
29,135.0182246390553,135.0182246390553,0.0,0.0,0.0
30,134.60073157881672,134.60073157881672,0.0,0.0,0.0
31,135.046614580939,135.046614580939,0.0,0.0,0.0
32,142.21826153323988,136.36405524882707,0.0,0.0,0.0
33,141.5066883914278,135.71063382639358,-2.407406862712684,10.0,-0.2407406862712719
34,141.10328324868894,135.4586748524075,-3.3419062950602463,10.0,-0.33419062950601985
35,140.6086160329555,133.96004815719022,-8.972850953352777,10.0,-0.8972850953352804
