Day,Predicted_Rate,Actual_Rate,Floating_PnL,Position_Status,Cumulative_Return
36,141.88637539739508,132.35760918751225,-15.134929098178441,10.0,-1.5134929098178418
37,142.34289548606418,133.43304894006437,-10.983059789330218,10.0,-1.098305978933024
38,141.72612068141504,135.24272136113203,-4.145634886704185,10.0,-0.4145634886704215
39,141.9998778617332,135.14533291305133,-4.508932382296282,10.0,-0.450893238229628
40,141.17757060837172,136.5015607887995,0.5036775373769949,10.0,0.05036775373770297
41,140.9893710165138,136.9951996073641,2.303527278130633,10.0,0.23035272781306732
42,139.48043160858603,136.11141651183627,-0.9280585841557021,10.0,-0.09280585841556785
43,137.84103438211875,136.60331718970528,0.8757545050898642,10.0,0.08757545050898442
44,137.1681278368337,138.70432615908842,8.436185716288163,10.0,0.843618571628815
45,137.3279727849767,138.65463389295147,8.260014756855654,10.0,0.826001475685564
46,137.60822172031928,140.8240848256497,15.835464446101165,10.0,3.1670928892202257
47,137.78921972310442,137.13485275805056,0.0,0.0,1.5835464446101128
48,137.535215288442,138.26196754724023,4.0760116798011445,10.0,1.9911476125902254
49,136.2832164469223,138.38232053647852,4.507323528004864,10.0,2.485011150211085
50,135.2565189323627,137.9685472263292,0.0,0.0,2.0342787974106042
51,134.38553964891022,138.09514823663883,-0.4583832666325294,-10.0,1.988440470747355
52,134.73294856478603,135.35041199771538,9.671692867318407,-10.0,3.001448084142453
53,135.28352489138567,135.05308519248416,10.793763169829807,-10.0,3.1136551143935773
54,134.17023730247726,135.53537673792098,8.976145368722225,-10.0,2.9318933342828357
55,133.80146883478162,137.5384459992487,1.5635672773373583,-10.0,2.1906355251443412
56,133.34322578528597,136.8256251949582,4.176564257398749,-10.0,2.4519352231504854
57,132.6423550050126,135.71939876813835,8.28602424784272,-10.0,2.8628812221948694
58,132.9468092814054,135.03841712530863,10.849246323368751,-10.0,3.119203429747472
59,133.84032902241276,136.27456165538504,6.215340377421147,-10.0,2.65581283515271
60,134.82408157704455,136.72256578901099,4.5566049398202795,-10.0,2.489939291392625
61,134.64949789284216,135.9982640458916,7.24378062565838,-10.0,2.7586568599764405
62,134.31199761497825,136.69629884483868,4.653558261056621,-10.0,2.499634623516272
63,134.08651882950605,136.82900026180673,4.164128080823828,-10.0,2.4506916054929886
64,134.91124274515047,138.15438751843894,-0.6725819405660477,-10.0,1.9670206033540014
65,134.98874694367984,137.18447036653842,2.8577464260197933,-10.0,2.3200534400125887
66,134.8714371876276,136.73496878613665,4.510837465878845,-10.0,2.485362543998485
67,134.01365436443845,136.1988198253435,6.496852921542017,-10.0,2.683964089564802
68,132.82823795665806,134.20552973802006,14.019606701955043,-10.0,3.436239467606106
69,132.78276017978484,134.60293952451627,12.501984405771204,-10.0,3.2844772379877214
70,133.90716957762422,134.95432759465413,11.167554554932538,-10.0,3.1510342529038553
71,134.3795415512013,134.96122842568283,11.141417560163847,-10.0,3.1484205534269907
72,135.3378723673454,134.64462674875114,12.343309041884588,-10.0,3.2686097015990527
73,135.99524322652584,132.73890609600633,19.69897629915837,-10.0,5.974074057242273
74,135.5795740873418,132.1805460960236,-0.0,0.0,4.004176427326433
75,135.95561835403348,131.72754417652817,-1.7194654403043925,10.0,3.832229883295986
76,137.1528018744252,130.67072403229602,-5.777200956483594,10.0,3.4264563316780823
77,137.8524691633347,130.4599708251014,-6.594265122245191,10.0,3.34474991510192
78,139.31131042003787,130.98709545502024,-4.555603881655548,10.0,3.548616039160879
79,137.74040572620376,133.457755581898,4.785070302979256,10.0,4.482683457624352
80,137.65401569599587,133.69074321264733,5.64809903936893,10.0,4.568986331263318
81,137.828476772499,134.0350642441517,6.918033570491705,10.0,4.695979784375595
82,137.70562385783248,133.93528061312736,6.550680705901265,10.0,4.659244497916553
83,137.5840938157107,131.36536900159268,-3.1027092628233874,10.0,3.693905501044105
84,136.10532235483967,131.3305389512722,-3.236136665314308,10.0,3.68056276079501
85,135.1948375800757,131.40963961059924,-2.9332189316885096,10.0,3.710854534157579
86,135.05933671327418,134.64657719335264,9.157422151874782,10.0,4.919918642513903
87,136.18697262951534,134.38756973841873,8.211412881009183,10.0,4.825317715427355
88,136.10407369221818,134.79281188339166,9.689929866690246,10.0,4.973169413995447
89,135.51145583084323,134.74602291295147,9.519675465988453,10.0,4.956143973925282
90,135.09662558644365,133.17127573660204,3.7197572640890053,10.0,4.376152153735325
